"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"1",NA,"Hamilton, Bermuda",NA,96.1,124.22,157.89,155.22,79.43
"2",NA,"Zurich, Switzerland",131.24,69.26,102.19,136.14,132.52,129.79
"3",NA,"Basel, Switzerland",NA,49.38,NA,137.07,130.95,111.53
"4",NA,"Zug, Switzerland",128.13,72.12,101.87,132.61,NA,143.4
"5",NA,"Lugano, Switzerland",123.99,44.99,86.96,129.17,119.8,111.96
"6",NA,"Lausanne, Switzerland",122.03,59.55,92.74,122.56,127.01,NA
"7",NA,"Beirut, Lebanon",120.47,NA,77.01,141.33,116.95,15.4
"8",NA,"Bern, Switzerland",118.16,46.12,NA,NA,120.88,112.46
"9",NA,"Geneva, Switzerland",NA,75.05,NA,NA,126.31,NA
"10",NA,"Stavanger, Norway",104.61,35.38,72.16,102.46,NA,85.9
"11",NA,"Honolulu, HI, United States",NA,65.07,85.56,NA,94.28,89.24
"12",NA,"Oslo, Norway",102.33,46.39,76.11,97.62,NA,85.18
"13",NA,"Bergen, Norway",100.38,34.84,69.66,96.22,103.51,86.96
"14",NA,NA,100,100,NA,NA,100,100
"15",NA,"Trondheim, Norway",99.43,37.74,70.52,95.11,103.21,88
"16",NA,"Tromso, Norway",98.99,37.19,70.02,NA,103.47,NA
"17",NA,"Reykjavik, Iceland",97.61,46.27,73.55,91.92,105.77,74.84
"18",NA,"Saint Helier, Jersey",NA,NA,81.85,79.94,109.51,80.43
"19",NA,"Santa Barbara, CA, United States",NA,NA,87.23,99.53,99.41,93.86
"20",NA,"Tel Aviv-Yafo, Israel",94.49,53.22,75.15,82.98,106.66,70.22
"21",NA,NA,NA,88.22,91.48,NA,78.85,NA
"22",NA,"San Francisco, CA, United States",93.91,108.42,100.72,97.05,93.4,133.16
"23",NA,"Oakland, CA, United States",92.93,87.79,90.52,98.46,78.71,111.73
"24",NA,NA,NA,39.29,NA,97.95,78.76,118.63
"25",NA,"Santa Clara, CA, United States",89.41,90.39,89.87,100.63,73.46,155.41
"26",NA,"Petah Tikva, Israel",88.86,32.68,62.52,NA,NA,NA
"27",NA,"Beersheba, Israel",88.77,23.1,NA,NA,92.07,80.11
"28",NA,"Seattle, WA, United States",88.52,65.84,77.89,87.34,93.09,145.39
"29",NA,"Copenhagen, Denmark",88.34,49.42,70.1,71.49,NA,90.67
"30",NA,"Arhus, Denmark",88.18,36.52,63.97,69.2,111.78,95.49
"31",NA,NA,87.44,NA,NA,74.28,94.59,77.61
"32",NA,"Jerusalem, Israel",86.32,40.36,64.78,74.46,101.01,79.55
"33",NA,"Nassau, Bahamas",85.98,36.36,62.72,76.79,86.61,NA
"34",NA,"London, United Kingdom",85.62,76.51,81.35,NA,89.41,88.79
"35",NA,"Tokyo, Japan",85.61,42.71,65.5,94.94,52.26,88.58
"36",NA,NA,85.47,78.26,NA,85.4,90.86,115.72
"37",NA,"Nice, France",NA,36.1,61.87,83.37,NA,64.22
"38",NA,"Paris, France",84.35,48.79,67.68,NA,81.64,80.2
"39",NA,"Queens, NY, United States",84.02,69.36,77.15,79.19,83.16,105.72
"40",NA,"Singapore, Singapore",83.98,66.43,75.75,77.08,61.17,91.34
"41",NA,"Washington, DC, United States",83.74,NA,NA,NA,82.36,121.83
"42",NA,"Sydney, Australia",83.21,58.03,71.41,79.65,73.06,104.52
"43",NA,"Luxembourg, Luxembourg",82.99,63.43,73.82,NA,95.17,100.19
"44",NA,"Espoo, Finland",NA,35.95,60.66,74.46,NA,90.3
"45",NA,NA,82.43,23.26,54.7,71.24,93.27,100.93
"46",NA,"Pittsburgh, PA, United States",82.36,39.14,62.1,89.37,68.36,115.5
"47",NA,"Darwin, Australia",82.06,35.04,NA,83.7,83.45,109.44
"48",NA,NA,80.82,55.8,69.09,NA,85.59,94.45
"49",NA,"Jersey City, NJ, United States",80.79,63,72.45,81.67,NA,155.89
"50",NA,NA,80.71,74.57,77.83,84.72,NA,65.74
"51",NA,"Breda, Netherlands",NA,32.34,58,67.22,NA,84.3
"52",NA,"Nanaimo, BC, Canada",80.26,34.06,58.6,87.2,67.48,57.49
"53",NA,"Auckland, New Zealand",80.19,45.49,NA,75.19,79.09,79.21
"54",NA,"Haarlem, Netherlands",79.79,NA,67.14,66.33,79.42,77.06
"55",NA,"Utrecht, Netherlands",79.76,44.61,63.28,65.53,85.88,NA
"56",NA,"Brighton, United Kingdom",79.57,51.44,66.39,63.41,NA,74.78
"57",NA,"Brisbane, Australia",79.44,37.56,59.81,79.33,74.5,103.8
"58",NA,"Philadelphia, PA, United States",79.19,49.57,65.31,81.67,71.07,115.61
"59",NA,"Los Angeles, CA, United States",79.19,74.48,76.98,75.94,NA,126.12
"60",NA,"Minneapolis, MN, United States",79.08,47.05,64.07,79.07,NA,114.68
"61",NA,"Turku, Finland",79.06,23.62,53.07,NA,89.3,96.82
"62",NA,"Dublin, Ireland",79.05,62.39,71.24,NA,83.31,81.82
"63",NA,"Stockholm, Sweden",78.92,43.96,62.54,70.58,NA,95.42
"64",NA,"Birmingham, AL, United States",78.82,28.19,55.09,84.3,75.48,84.93
"65",NA,"Seoul, South Korea",78.66,33.87,57.66,98.28,47.26,74.5
"66",NA,"Eindhoven, Netherlands",78.24,NA,59.26,64.14,78.09,86.92
"67",NA,"Odense, Denmark",78.23,NA,NA,63.2,90.81,94.79
"68",NA,"Miami, FL, United States",78,64.96,71.88,76.72,NA,NA
"69",NA,"Groningen, Netherlands",77.94,27.96,54.51,65.77,77.83,78.31
"70",NA,"Sacramento, CA, United States",NA,50.55,65.07,80.84,70.23,101.43
"71",NA,"Nijmegen, Netherlands",77.8,31.3,56,65.82,79.62,86.52
"72",NA,"Munich, Germany",NA,47.34,NA,66.77,76.82,95.16
"73",NA,"Galway, Ireland",77.44,NA,59.8,67.73,77.69,71.94
"74",NA,"St. John's, Newfoundland and Labrador, Canada",77.4,21.57,51.23,77.91,77.37,NA
"75",NA,"Innsbruck, Austria",77.32,30.14,NA,66.32,NA,68.01
"76",NA,"Perth, Australia",77.29,33.08,56.57,76.45,72.08,110.04
"77",NA,NA,77.26,NA,63.83,NA,78.68,121.26
"78",NA,"Asheville, NC, United States",77.25,45.36,62.3,NA,71.12,94.16
"79",NA,NA,77.21,31.45,55.76,76.04,71.34,NA
"80",NA,"Leiden, Netherlands",77.2,37.29,58.49,66.23,NA,77.18
"81",NA,"Helsinki, Finland",77.17,38.32,NA,69.7,83.74,NA
"82",NA,"Chicago, IL, United States",77.06,NA,67.77,73.3,76.34,135.26
"83",NA,"Fort Lauderdale, FL, United States",76.86,56.56,67.35,NA,82.48,NA
"84",NA,"Portland, OR, United States",76.83,52.91,65.62,75.46,74.61,108.09
"85",NA,"Melbourne, Australia",76.76,38.65,58.9,77.78,74.68,102.16
"86",NA,NA,76.71,29.13,54.41,82.24,44.42,81.58
"87",NA,"Wellington, New Zealand",76.66,45.43,62.02,75.75,69.08,85.49
"88",NA,"Victoria, Canada",76.65,44.9,61.77,80.26,79.11,NA
"89",NA,"Vancouver, Canada",76.61,NA,67.17,NA,74.29,87.68
"90",NA,NA,76.6,48.58,63.47,78,NA,NA
"91",NA,"Adelaide, Australia",NA,32.79,56.06,NA,67.72,NA
"92",NA,"Lund, Sweden",76.58,28.43,54.01,72.64,72.53,104.91
"93",NA,"Toulouse, France",76.57,24.74,52.27,NA,79.45,90.06
"94",NA,"Guelph, Canada",76.36,38.13,NA,77.93,NA,NA
"95",NA,"Rotterdam, Netherlands",76.24,NA,60.07,64.83,76.3,91.36
"96",NA,NA,NA,43.96,61.07,73.4,77.55,106.63
"97",NA,"Cork, Ireland",76.15,42.64,60.44,62.63,82.01,84.45
"98",NA,"Guildford, United Kingdom",76.02,49.12,63.41,66.52,74.95,78.75
"99",NA,"Plano, TX, United States",75.94,48.36,63.01,77.11,61.45,105.41
"100",NA,"Canberra, Australia",75.94,42.5,60.26,NA,79.07,105.11
"101",NA,"Tampa, FL, United States",NA,46.37,62.02,80.03,74.23,NA
"102",NA,NA,NA,39.95,NA,73.38,73.8,101.22
"103",NA,"Oxford, United Kingdom",75.68,49.17,63.25,65.9,75.45,104.03
"104",NA,"Nagoya, Japan",75.62,57.61,67.18,NA,40.27,NA
"105",NA,"Lincoln, United Kingdom",75.6,22.24,50.59,NA,90.13,88.99
"106",NA,"York, United Kingdom",75.52,NA,56.1,62.37,80.71,73.46
"107",NA,"San Diego, CA, United States",75.47,68.77,72.33,73.82,78.67,127.94
"108",NA,NA,75.41,35.29,56.6,76.36,79.48,125.32
"109",NA,"Omaha, NE, United States",75.31,30.21,54.17,72.55,80.25,106.03
"110",NA,"Leuven, Belgium",75.27,28.6,53.39,64.58,NA,83.59
"111",NA,"Reading, United Kingdom",75.27,41.7,59.53,63.44,85.76,100.89
"112",NA,"Hamilton, New Zealand",NA,31.02,NA,74.45,NA,123.18
